[2021-10-24 00:00:01.688] [http-nio-8090-exec-4] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时15分50秒, load=0.0, network_rx=17483, network_tx=7564, network_in=608912255, network_out=95110805, cpu=16, memory_total=14529848, memory_used=12622744, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872208, custom=, region=CN, updated=1635004798)
[2021-10-24 00:00:04.671] [http-nio-8090-exec-7] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时15分53秒, load=0.0, network_rx=2544, network_tx=4222, network_in=608914799, network_out=95115027, cpu=16, memory_total=14529848, memory_used=12620204, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872144, custom=, region=CN, updated=1635004801)
[2021-10-24 00:00:07.715] [http-nio-8090-exec-10] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时15分56秒, load=0.0, network_rx=5974, network_tx=5138, network_in=608920773, network_out=95120165, cpu=16, memory_total=14529848, memory_used=12629216, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004804)
[2021-10-24 00:00:10.741] [http-nio-8090-exec-3] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时15分59秒, load=0.0, network_rx=11998, network_tx=9071, network_in=608932771, network_out=95129236, cpu=16, memory_total=14529848, memory_used=12637988, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004807)
[2021-10-24 00:00:13.943] [http-nio-8090-exec-7] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分2秒, load=0.0, network_rx=13605, network_tx=10897, network_in=608946376, network_out=95140133, cpu=16, memory_total=14529848, memory_used=12626816, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004810)
[2021-10-24 00:00:16.912] [http-nio-8090-exec-10] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分5秒, load=0.0, network_rx=8195, network_tx=8560, network_in=608954571, network_out=95148693, cpu=16, memory_total=14529848, memory_used=12624272, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004813)
[2021-10-24 00:00:19.927] [http-nio-8090-exec-3] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分8秒, load=0.0, network_rx=2164, network_tx=5363, network_in=608956735, network_out=95154056, cpu=16, memory_total=14529848, memory_used=12643080, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004816)
[2021-10-24 00:00:23.185] [http-nio-8090-exec-6] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分11秒, load=0.0, network_rx=2321, network_tx=4834, network_in=608959056, network_out=95158890, cpu=16, memory_total=14529848, memory_used=12637512, swap_total=12070756, swap_used=1242820, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004819)
[2021-10-24 00:00:27.416] [http-nio-8090-exec-10] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分14秒, load=0.0, network_rx=2176, network_tx=5532, network_in=608961232, network_out=95164422, cpu=16, memory_total=14529848, memory_used=12635320, swap_total=12070756, swap_used=1242440, hdd_total=500107572, hdd_used=373872148, custom=, region=CN, updated=1635004823)
[2021-10-24 00:00:30.416] [http-nio-8090-exec-3] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分19秒, load=0.0, network_rx=2458, network_tx=4149, network_in=608963690, network_out=95168571, cpu=16, memory_total=14529848, memory_used=12656324, swap_total=12070756, swap_used=1237316, hdd_total=500107572, hdd_used=373872156, custom=, region=CN, updated=1635004827)
[2021-10-24 00:00:33.475] [http-nio-8090-exec-6] [INFO ] [cn.korostudio.ms.data.Data] - Server(id=8a35ad947cadba3c017cadba8c850000, serverID=873715050, name=NULL, type=KVM, host=127.0.0.1, location=中国, online=true, uptime=4小时16分22秒, load=0.0, network_rx=2379, network_tx=4274, network_in=608966069, network_out=95172845, cpu=16, memory_total=14529848, memory_used=12651172, swap_total=12070756, swap_used=1237316, hdd_total=500107572, hdd_used=373872156, custom=, region=CN, updated=1635004830)
